content_id,content_kr,content_jp,release_date,hashtag,onair,is_full,detail,OTT,maker
KEI0001,나선의 미궁 ~DNA 과학 수사~,.,2021 4분기,#다나카케이 #야스다켄 #쿠라시나카나,N,.,.,.,UgwayK
OTH0001,혼인신고서에 도장을 찍었을 뿐인데,.,2021 4분기,#사카구치켄타로 #세이노나나,N,.,.,.,UgwayK
KEI0002,닥터X 시즌7 ~외과의 다이몬 미치코~,.,2021 4분기,#다나카케이 ,N,7,.,.,UgwayK
OTH0002,아름다은 그 시즌1,.,2021 4분기,#야기유세이 #하기와라리쿠,N,6,.,.,UgwayK
OTH0003,케이x야쿠 ~위험한 파트너~,.,2022 1분기,#스즈키노부유키 #이누카이아츠히로,N,.,.,.,UgwayK
OTH0004,땀과 비누,.,2022 1분기,#사토칸타 #오오하라유노,N,.,.,.,UgwayK
KEI0003,지속 가능한 사랑입니까? ~아버지와 딸의 결혼행진곡~,.,2022 2분기,#우에노주리 #다나카케이 #이소무라하야토,N,.,.,.,UgwayK
KEI0004,사신 씨 시즌2,.,2022 4분기,#다나카케이,N,.,.,.,UgwayK
KEI0005,리버설 오케스트라,.,2023 1분기,#카도와키무기 #다나카케이,N,.,.,.,UgwayK
OTH0005,아름다운 그 시즌2,.,2023 1분기,#야기유세이 #하기와라리쿠,N,.,.,.,UgwayK
OTH0006,우리들의 식탁,.,2023 2분기,#이누카이아츠히로 #이이지마히로키 #마에야마쿠우가,N,.,.,.,UgwayK
KEI0006,Unknown,.,2023 2분기,#다나카케이 #타카하타미츠키,Y,.,.,.,UgwayK
OTH0007,"펜딩 트레인 ~8시 23분, 내일 너와~",.,2023 2분기,#야마다유키 #아카소에이지 #카미시라이시모카,N,"1,2",.,.,UgwayK
