content_id,content_kr,content_jp,release_date,hashtag,onair,is_full,detail,OTT,maker,update_date,url
KEI0001,나선의 미궁 ~DNA 과학 수사~,.,2021 4분기,#다나카케이 #야스다켄 #쿠라시나카나,N,.,.,.,UgwayK,20211128,https://blog.naver.com/nuang0530_2/222539988282
OTH0001,혼인신고서에 도장을 찍었을 뿐인데,.,2021 4분기,#사카구치켄타로 #세이노나나,N,.,.,.,UgwayK,20211222,https://blog.naver.com/nuang0530_2/222545305709
KEI0002,닥터X 시즌7 ~외과의 다이몬 미치코~,.,2021 4분기,#다나카케이 ,N,7,.,.,UgwayK,20211204,https://blog.naver.com/nuang0530_2/222582322227
OTH0002,아름다은 그 시즌1,.,2021 4분기,#야기유세이 #하기와라리쿠,N,6,.,.,UgwayK,20211226,https://blog.naver.com/nuang0530_2/222604321837
OTH0003,케이x야쿠 ~위험한 파트너~,.,2022 1분기,#스즈키노부유키 #이누카이아츠히로,N,.,.,.,UgwayK,20220318,https://blog.naver.com/nuang0530_2/222621511416
OTH0004,땀과 비누,.,2022 1분기,#사토칸타 #오오하라유노,N,.,.,.,UgwayK,20220402,https://blog.naver.com/nuang0530_2/222640683612
KEI0003,지속 가능한 사랑입니까? ~아버지와 딸의 결혼행진곡~,.,2022 2분기,#우에노주리 #다나카케이 #이소무라하야토,N,.,.,.,UgwayK,20220701,https://blog.naver.com/nuang0530_2/222707620317
KEI0004,사신 씨 시즌2,.,2022 4분기,#다나카케이,N,.,.,.,UgwayK,20221026,https://blog.naver.com/nuang0530_2/222901677368
KEI0005,리버설 오케스트라,.,2023 1분기,#카도와키무기 #다나카케이,N,.,.,.,UgwayK,20230318,https://blog.naver.com/nuang0530_2/222983265651
OTH0005,아름다운 그 시즌2,.,2023 1분기,#야기유세이 #하기와라리쿠,N,.,.,.,UgwayK,20230323,https://blog.naver.com/nuang0530_2/223009036361
OTH0006,우리들의 식탁,.,2023 2분기,#이누카이아츠히로 #이이지마히로키 #마에야마쿠우가,N,.,.,.,UgwayK,20230610,https://blog.naver.com/nuang0530_2/223068477967
KEI0006,Unknown,.,2023 2분기,#다나카케이 #타카하타미츠키,Y,.,.,.,UgwayK,20230619,https://blog.naver.com/nuang0530_2/223082101297
OTH0007,"펜딩 트레인 ~8시 23분, 내일 너와~",.,2023 2분기,#야마다유키 #아카소에이지 #카미시라이시모카,N,"1,2",.,.,UgwayK,20230504,https://blog.naver.com/nuang0530_2/223083893078
